system_code,tag,equipment_type,description,criticality,sil_level,inspection_group,corrosion_loop,manufacturer,model_number,serial_number,weight_kg,line_number
12,SSV-289920.B,Equipment,Part of AF-09,,,,,,,,,
12,HV-289920.C-03,Hydraulic Valve,Part of AF-10,,,,,,,,,
12,AF-10,Wellhead,Annular Flow Equipment,,,,,,,,,
12,HV-289920.A-02,Hydraulic Valve,Part of AF-4,,,,,,,,,
29,P-2802.A,Pump,Part of G-2802,,,,,,,,,
12,WV-289930.C,Wing Valve,Part of AF-10,,,,,,,,,
12,HV-289920.A-08,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,HV-289920.C-01,Hydraulic Valve,Part of AF-10,,,,,,,,,
12,WV-289930.A,Wing Valve,Part of AF-4,,,,,,,,,
29,G-2802,Generator Package,,,,,,,,,,
12,HV-289920.C-09,Hydraulic Valve,Part of AF-10,,,,,,,,,
12,WV-289930.B,Wing Valve,Part of AF-09,,,,,,,,,
12,HV-289920.A-03,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,HV-289920.C-04,Hydraulic Valve,Part of AF-10,,,,,,,,,
29,Needle Valve-0112,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3971,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10878,Package Equipment,Part of G-2802,,,,,,,,,
29,Needle Valve-0111,Package Equipment,Part of G-2802,,,,,,,,,
29,V-28196,Vessel,Part of G-2802,,,,,,,,,
29,Ball Valve-10884,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3968,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10879,Package Equipment,Part of G-2802,,,,,,,,,
29,V-28200,Vessel,Part of G-2802,,,,,,,,,
29,DBBT-1182,Package Equipment,Part of G-2802,,,,,,,,,
29,Gate Valve-2322,Package Equipment,Part of G-2802,,,,,,,,,
29,Gate Valve-2325,Package Equipment,Part of G-2802,,,,,,,,,
29,DBBT-1181,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3974,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3969,Package Equipment,Part of G-2802,,,,,,,,,
29,V-28195,Vessel,Part of G-2802,,,,,,,,,
29,Globe Valve-3970,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10874,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10875,Package Equipment,Part of G-2802,,,,,,,,,
29,Check Valve-3748,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10876,Package Equipment,Part of G-2802,,,,,,,,,
29,DBBT-1180,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10880,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10882,Package Equipment,Part of G-2802,,,,,,,,,
29,V-28198,Vessel,Part of G-2802,,,,,,,,,
29,Globe Valve-3972,Package Equipment,Part of G-2802,,,,,,,,,
29,Check Valve-3750,Package Equipment,Part of G-2802,,,,,,,,,
29,DBBT-1183,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10877,Package Equipment,Part of G-2802,,,,,,,,,
29,Gate Valve-2324,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3973,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10885,Package Equipment,Part of G-2802,,,,,,,,,
29,Check Valve-3749,Package Equipment,Part of G-2802,,,,,,,,,
29,V-28197,Vessel,Part of G-2802,,,,,,,,,
29,Ball Valve-10883,Package Equipment,Part of G-2802,,,,,,,,,
29,Gate Valve-2326,Package Equipment,Part of G-2802,,,,,,,,,
29,Ball Valve-10881,Package Equipment,Part of G-2802,,,,,,,,,
29,Globe Valve-3975,Package Equipment,Part of G-2802,,,,,,,,,
29,Gate Valve-2323,Package Equipment,Part of G-2802,,,,,,,,,
29,PG-282010.B,Package Equipment,Part of G-2802,,,,,,,,,
29,PG-282010.A,Package Equipment,Part of G-2802,,,,,,,,,
29,LT-282020,Package Equipment,Part of G-2802,,,,,,,,,
29,PT-289901.C,Package Equipment,Part of G-2802,,,,,,,,,
29,LG-282020,Level Gauge,Part of G-2802,,,,,,,,,
29,LSLL-282020,Package Equipment,Part of G-2802,,,,,,,,,
29,PSV-282020.C,Pressure Safety Valve,Part of G-2802,,,,,,,,,
29,PT-289901.B,Package Equipment,Part of G-2802,,,,,,,,,
29,Component-8738,Package Equipment,Part of G-2802,,,,,,,,,
29,Component-8735,Package Equipment,Part of G-2802,,,,,,,,,
29,PT-289901.A,Package Equipment,Part of G-2802,,,,,,,,,
29,Component-8736,Package Equipment,Part of G-2802,,,,,,,,,
29,PSV-282020.B,Pressure Safety Valve,Part of G-2802,,,,,,,,,
29,PG-282010.C,Package Equipment,Part of G-2802,,,,,,,,,
29,PSV-282020.A,Pressure Safety Valve,Part of G-2802,,,,,,,,,
29,Component-8733,Package Equipment,Part of G-2802,,,,,,,,,
29,Component-8734,Package Equipment,Part of G-2802,,,,,,,,,
29,Component-8737,Package Equipment,Part of G-2802,,,,,,,,,
